29170d29169
> "2019311263","2019311263529900","5299","0","weapon-other-viol","all-other-crimes","5/18/2019 4:07:00 PM","","5/18/2019 6:02:00 PM","","3128043","1689638","-105.044780","39.72597850","1","122","villa-park","1","0"
> "2019306964","2019306964540100","5401","0","traffic-accident-hit-and-run","traffic-accident","5/16/2019 6:55:00 PM","","5/16/2019 7:03:00 PM","1355 N KRAMERIA ST","3163859","1694063","-104.91734870","39.73756440","2","222","montclair","0","1"
> "2019311146","2019311146544100","5441","0","traffic-accident","traffic-accident","5/18/2019 3:15:00 PM","","5/18/2019 4:18:00 PM","I270 HWYEB / I70 HWYEB","3169593","1708924","-104.89660940","39.77825720","5","512","stapleton","0","1"
> "2019310909","2019310909240400","2404","0","theft-of-motor-vehicle","auto-theft","5/17/2019 4:00:00 PM","5/18/2019 12:30:00 PM","5/18/2019 1:01:00 PM","250 S JACKSON ST","3156918","1684755","-104.94223220","39.71213180","3","311","cherry-creek","1","0"
> "2019309919","2019309919544100","5441","0","traffic-accident","traffic-accident","5/17/2019 10:07:00 PM","","5/17/2019 10:07:00 PM","I25 HWYSB / W ALAMEDA AVE","3140912","1684324","-104.999133","39.71120460","3","312","baker","0","1"
> "20196004376","20196004376239900","2399","0","theft-other","larceny","4/24/2019 2:01:00 PM","4/24/2019 5:59:00 PM","5/17/2019 3:36:00 PM","593 S OGDEN ST","3147452","1682382","-104.97592710","39.70577210","3","312","washington-park-west","1","0"
> "2019311506","2019311506131500","1315","0","aggravated-assault","aggravated-assault","5/18/2019 5:55:00 PM","","5/18/2019 10:10:00 PM","E COLFAX AVE / N FRANKLIN ST","3149479","1694866","-104.96846330","39.74001080","6","622","cheesman-park","1","0"
29961a30046,30091
> "2019312960","2019312960540100","5401","0","traffic-accident-hit-and-run","traffic-accident","5/19/2019 1:26:00 PM","","5/19/2019 1:26:00 PM","I25 HWYSB / I70 HWYEB","3143465","1709438","-104.98955710","39.78010790","1","112","globeville","0","1"
> "2019311263","2019311263356000","3560","0","drug-marijuana-sell","drug-alcohol","5/18/2019 4:07:00 PM","","5/18/2019 6:02:00 PM","","3128043","1689638","-105.044780","39.72597850","1","122","villa-park","1","0"
> "2019313912","2019313912351200","3512","0","drug-heroin-possess","drug-alcohol","5/20/2019 12:37:00 AM","","5/20/2019 3:40:00 AM","1800 BLOCK N GAYLORD YORK ALY","3151712","1697012","-104.96047780","39.74586580","6","622","city-park-west","1","0"
> "2019310297","2019310297131502","1315","2","menacing-felony-w-weap","aggravated-assault","5/18/2019 2:00:00 AM","5/18/2019 2:50:00 AM","5/18/2019 1:43:00 PM","2001 S UNIVERSITY BLVD","3152055","1673014","-104.95976560","39.67998090","3","313","university","1","0"
